Sample_ID,Num_of_formulas,Comp.mol.R2,Comp.mol.slope,C.mol.R2,C.mol.slope,Comp.R2_C.R2_Ratio,Comp.Slope_C.Slope_Ratio
ECA2_0001_10,976,0.676577464803016,0.948964660911242,0.433458142161692,0.627563036482932,1.56088304496685,1.51214237573575
ECA2_0002_01,634,0.712237189292897,0.783854679807777,0.522389818292455,0.567408443082874,1.36342088676422,1.38146460343257
ECA2_0002_02,1471,0.766546078281867,0.997853334122913,0.484584618669247,0.575002787745238,1.58186217380761,1.73538868921975
ECA2_0002_03,1369,0.761889548809873,0.93529572622102,0.477393892748091,0.580593703205387,1.59593484622122,1.61092984828696
ECA2_0002_04,960,0.786074582382193,1.07043389080679,0.462150378879653,0.521564271426098,1.70090649776767,2.05235279609919
ECA2_0002_05,1171,0.761395433906547,0.978144111049719,0.456304627378498,0.555934202667185,1.66861212493245,1.75946021373917
ECA2_0002_06,1245,0.771292889063312,0.95545044616801,0.418140062189348,0.533174953720232,1.84458022277245,1.79200174258252
ECA2_0002_07,1203,0.792269118951356,0.923366448505153,0.389752666694521,0.522250970083782,2.03274842394425,1.76805118879343
ECA2_0002_08,1756,0.773376362965971,0.922599322154198,0.398748197363806,0.535934313981094,1.9395106186784,1.7214783567427
ECA2_0002_09,1482,0.772742352780513,0.975947642632553,0.407150735789171,0.521886414620963,1.89792694659565,1.87003841313127
ECA2_0002_10,1496,0.761942392310174,0.965191794094514,0.40955275044226,0.522148134824993,1.86042552879301,1.84850185171688
ECA2_0003_01,577,0.745595440699875,1.01453479289529,0.601092131863328,0.65495859200328,1.24040126492523,1.54900600630675
ECA2_0003_02,499,0.661163925027718,1.04191873028308,0.532138924042821,0.659292089622272,1.24246488117173,1.58035982333722
ECA2_0003_03,740,0.730412210564216,0.930763950933669,0.496738053028929,0.575932655486499,1.47041726743185,1.6160985873382
ECA2_0003_04,439,0.703729525801858,1.01471364636098,0.55000375830542,0.67827841481812,1.2794994855491,1.49601347203873
ECA2_0003_05,502,0.696422875772966,1.03379420510742,0.529608780297372,0.658066451129986,1.31497607608002,1.57095716296167
ECA2_0003_06,599,0.719093591816593,0.921645716427679,0.526234550152528,0.669001748770556,1.36648874842628,1.37764320963497
ECA2_0003_07,560,0.696009433925071,0.958366883468852,0.450719445633825,0.583885060694426,1.54421878325286,1.64136222688939
ECA2_0003_08,590,0.75788556625338,1.0058909606654,0.480656586095292,0.603271230572585,1.57677141680344,1.66739421621461
