Sample_ID,Num_of_formulas,Comp.mol.R2,Comp.mol.slope,C.mol.R2,C.mol.slope,Comp.R2_C.R2_Ratio,Comp.Slope_C.Slope_Ratio
S19S_0086_Sed_Field_ICR.D_p2,2301,0.649728386031807,1.2414408704129,0.602570978712343,0.867124034583785,1.07826033610221,1.43167623188854
S19S_0086_Sed_Field_ICR.M_p2,2515,0.658936685262288,1.14220259092624,0.581444218590515,0.864588655426018,1.13327584004468,1.3210936596935
S19S_0086_Sed_Field_ICR.U_p2,2186,0.705926750369989,1.49332794132415,0.575597807615315,0.848681729336056,1.22642362606387,1.7595853542086
S19S_0087_Sed_Field_ICR.U_p15,1149,0.579905000899873,0.892694224465103,0.500221689464676,0.645206191866153,1.15929599438295,1.38357975437764
S19S_0089_Sed_Field_ICR.D_p2,1930,0.639971804502643,1.33499162660942,0.625178014714309,0.914130460583283,1.02366332378962,1.46039507944807
S19S_0089_Sed_Field_ICR.M_p2,2132,0.676682514687767,1.32575457573184,0.631851785386544,0.866842811905266,1.0709513375416,1.52940597479019
S19S_0089_Sed_Field_ICR.U_p2,2022,0.665888011670359,1.2312205039011,0.612755843973259,0.850649793391822,1.0867101770137,1.44738823598818
S19S_0090_Sed_Field_ICR.D_p2,2216,0.651081008302079,1.22988750284081,0.484496562391471,0.678753060511905,1.34382998527038,1.81198078416508
S19S_0090_Sed_Field_ICR.M_p2,2299,0.664043016919112,1.24329713471385,0.483443208309305,0.67097574707729,1.37356985371953,1.85296881463978
S19S_0090_Sed_Field_ICR.U_p2,2455,0.680756318015315,1.25685350137944,0.419898714776572,0.650843234182182,1.62123934667803,1.93111556726673
S19S_0091_Sed_Field_ICR.D_p2,2386,0.639036188357398,0.956412136304569,0.525911115642979,0.818930851508658,1.21510302663238,1.16787899068968
S19S_0091_Sed_Field_ICR.M_p2,2195,0.630794932955605,1.04830537498831,0.526631774221933,0.81968883797472,1.19779125345706,1.27890649039269
S19S_0091_Sed_Field_ICR.U_p2,2253,0.63435367205358,1.08155259183423,0.544100225641949,0.868273253081642,1.16587650980138,1.24563619574325
S19S_0092_Sed_Field_ICR.D_p2,2167,0.608517286280235,1.18143834168852,0.526724617491918,0.753714589661464,1.1552854491172,1.56748769082362
S19S_0092_Sed_Field_ICR.M_p1,1420,0.577992447912362,1.00338424332088,0.50336596082746,0.785614108848535,1.14825493357204,1.27719733138643
S19S_0092_Sed_Field_ICR.U_p2,2810,0.647161745400512,1.08196618208271,0.479511210579324,0.782589809628926,1.34962797766217,1.38254570756005
S19S_0093_Sed_Field_ICR.D_p15,2746,0.671924839368259,1.18712945265364,0.445205907951999,0.569612839060435,1.50924510965992,2.08409883213269
S19S_0093_Sed_Field_ICR.M_p15,1152,0.617060742505316,1.16159844023472,0.499368697400417,0.606481380468959,1.23568166310298,1.91530767084147
S19S_0093_Sed_Field_ICR.U_p15,1072,0.583934616431576,0.926970857393859,0.520174953480351,0.606883138771397,1.12257349671418,1.5274289202868
S19S_0094_Sed_Field_ICR.D_p15,1920,0.636986759317779,0.846509797144934,0.4039821223938,0.649634775049609,1.57676967372543,1.30305493125778
S19S_0094_Sed_Field_ICR.M_p15,1682,0.615651113625365,0.845688072056617,0.48493338001336,0.654252531107111,1.26955812695015,1.29260191110849
S19S_0094_Sed_Field_ICR.U_p15,2963,0.672510177786562,0.879589022849363,0.470295909784369,0.635029041107495,1.4299724148035,1.38511621659909
S19S_0096_Sed_Field_ICR.D_p15,2711,0.6243108144958,0.885127613229999,0.455206261415084,0.712704779677267,1.37148995392776,1.24192742699272
S19S_0096_Sed_Field_ICR.M_p2,1798,0.653960218323151,1.23081466046381,0.618514512499147,0.878030268389368,1.05730779974876,1.40179069534992
S19S_0097_Sed_Field_ICR.D_p2,1992,0.629479602831996,1.15356652973253,0.593841928154965,0.889943187118344,1.06001205537601,1.29622491236525
S19S_0097_Sed_Field_ICR.M_p15,1968,0.648829344573399,0.912173370792288,0.516943988076798,0.698285120874108,1.25512504166507,1.30630503718945
S19S_0097_Sed_Field_ICR.U_p2,2159,0.628014543319844,1.15989708136452,0.544175080633609,0.842820775619505,1.15406707449488,1.37620845963598
S19S_0098_Sed_Field_ICR.D_p2,1516,0.567579271707976,1.2074524193489,0.638922681231667,0.875314022279705,0.888337960727641,1.3794505613016
S19S_0098_Sed_Field_ICR.M_p2,1899,0.654908665007777,1.36987962268577,0.620733998261863,0.859660064978547,1.05505525207514,1.59351315536561
S19S_0098_Sed_Field_ICR.U_p2,2029,0.624136374933792,1.19786570966412,0.62714016457514,0.86149430503079,0.995210337638982,1.3904511064891
S19S_0099_Sed_Field_ICR.D_p2,2429,0.659079285423994,1.12706874571762,0.608096071117563,0.866717830003077,1.083840723083,1.30038716950546
S19S_0099_Sed_Field_ICR.M_p2,2263,0.662194537168962,1.22607243128284,0.62903390574663,0.873355769547783,1.05271676314963,1.4038636647671
S19S_0099_Sed_Field_ICR.U_p2,2374,0.660051220206135,1.09686598489096,0.530336037375638,0.86278690478033,1.24459054955494,1.27130578687935
S19S_0100_Sed_Field_ICR.D_p2,2234,0.646929005001932,1.21742454670227,0.557333827435757,0.801932520333775,1.16075675502848,1.51811345198417
S19S_0100_Sed_Field_ICR.M_p2,2361,0.668827505176791,1.15282302592959,0.56841786432695,0.833731852625296,1.17664758120988,1.3827263793503
S19S_0100_Sed_Field_ICR.U_p2,2578,0.703854540222637,1.14205240865744,0.509848881350881,0.729778487869076,1.38051600379651,1.5649302187465
S19S_0003_ICR.1_p05,2926,0.731226084288321,0.938950699749926,0.399999760202413,0.698530160321117,1.82806630663553,1.34418061393124
S19S_0003_ICR.2_p05,2691,0.749541087763903,1.17413915423928,0.374037459173801,0.637612693638946,2.00391984647618,1.84146138549768
S19S_0003_ICR.3_p05,3034,0.75118699660853,0.98699249921408,0.353600024445967,0.641489503530468,2.12439746797392,1.53859493223524
S19S_0004_ICR.1_p05,3053,0.751170449053436,1.03941427069836,0.360090700379179,0.674297970512781,2.08605900752906,1.54147619621029
S19S_0004_ICR.2_p05,3071,0.747029496057577,1.08253884353882,0.369844511533395,0.690011391405101,2.01984745686871,1.56887097375943
S19S_0004_ICR.3_p05,3008,0.736693882114933,1.06316266028392,0.379049063363015,0.702642662583572,1.94353173063879,1.51309152845166
S19S_0005_ICR.1_p05,3426,0.7766860217161,1.2428591223485,0.398799421607372,0.722605555964773,1.94756055208316,1.71996895414002
S19S_0005_ICR.2_p05,2557,0.820177667777991,1.39443498041385,0.380222577562914,0.675609739083346,2.15709880521832,2.0639651854424
S19S_0005_ICR.3_p05,2888,0.793128065197377,1.3519904802602,0.365960744066924,0.693804151823186,2.16724902344262,1.94866300051308
S19S_0006_ICR.1_p05,3639,0.756429837916007,1.07836625946701,0.402799081500471,0.705374869094133,1.87793337337866,1.52878463171205
S19S_0006_ICR.2_p05,2663,0.7516105802812,0.941587769012328,0.362659186002039,0.698170634223312,2.07249839323517,1.34864991859735
S19S_0006_ICR.3_p05,3507,0.749858057835607,1.02105502984137,0.408021690154387,0.731584777321045,1.83778969581709,1.39567560929893
S19S_0007_ICR.1_p05,3221,0.757980492348587,0.922634589954824,0.381491082249005,0.615403797424283,1.98688915054072,1.4992344763169
S19S_0007_ICR.2_p05,2744,0.755991107900651,1.00876712271361,0.377558626299371,0.633259639393307,2.00231448903836,1.59297555056573
S19S_0007_ICR.3_p05,1582,0.766895744826326,1.09309062800076,0.411438318939042,0.593629329796964,1.86393855293762,1.84136897072559
S19S_0008_ICR.1_p05,3115,0.7391649717153,0.946227705462546,0.359521834054128,0.60142167247774,2.0559668473543,1.57331827029823
S19S_0008_ICR.2_p05,2162,0.743872691480631,1.09773610696376,0.392010688517435,0.616957643029682,1.89758267636508,1.7792730495616
S19S_0008_ICR.3_p05,3147,0.744151702066953,0.881383977173611,0.359918733335039,0.596607703659896,2.06755479263771,1.47732584035833
S19S_0009_ICR.1_p05,2452,0.784786411601023,1.29218373631466,0.438843192084229,0.70636486673406,1.78830713511535,1.82934315842913
S19S_0009_ICR.2_p05,3384,0.766664334138087,1.09894953179865,0.370664240873642,0.686745841901043,2.06835256708629,1.60022742730637
S19S_0010_ICR.1_p05,3492,0.756114861079562,1.06457400458695,0.391272300939137,0.72877694012997,1.93245179703425,1.4607679606288
S19S_0010_ICR.2_p05,3167,0.778680204478851,1.15864756661453,0.398887110390595,0.705850009534309,1.95213177913009,1.64149259894316
S19S_0010_ICR.3_p05,2961,0.781444684454271,1.16921397686104,0.406651492928265,0.689689286840145,1.92165699141334,1.69527640804436
